"VRSTA IZOBRAŽEVANJA","LETNIK","STAROST","2009/10 Spol - SKUPAJ","2009/10 Moški","2009/10 Ženske","2010/11 Spol - SKUPAJ","2010/11 Moški","2010/11 Ženske","2011/12 Spol - SKUPAJ","2011/12 Moški","2011/12 Ženske","2012/13 Spol - SKUPAJ","2012/13 Moški","2012/13 Ženske","2013/14 Spol - SKUPAJ","2013/14 Moški","2013/14 Ženske","2014/15 Spol - SKUPAJ","2014/15 Moški","2014/15 Ženske","2015/16 Spol - SKUPAJ","2015/16 Moški","2015/16 Ženske","2016/17 Spol - SKUPAJ","2016/17 Moški","2016/17 Ženske","2017/18 Spol - SKUPAJ","2017/18 Moški","2017/18 Ženske","2018/19 Spol - SKUPAJ","2018/19 Moški","2018/19 Ženske","2019/20 Spol - SKUPAJ","2019/20 Moški","2019/20 Ženske","2020/21 Spol - SKUPAJ","2020/21 Moški","2020/21 Ženske"
"…splošna in strokovna gimnazija","Vsi letniki - SKUPAJ","15 let",8369,3326,5043,7915,3234,4681,7616,3198,4418,7443,3051,4392,6763,2728,4035,6470,2546,3924,6523,2600,3923,6140,2369,3771,6270,2422,3848,6167,2351,3816,6216,2332,3884,6512,2522,3990
"…splošna in strokovna gimnazija","Vsi letniki - SKUPAJ","16 let",8063,3342,4721,8039,3201,4838,7815,3136,4679,7602,3170,4432,7233,2973,4260,6618,2705,3913,6409,2541,3868,6507,2610,3897,6181,2409,3772,6257,2424,3833,6138,2369,3769,6491,2440,4051
"…splošna in strokovna gimnazija","Vsi letniki - SKUPAJ","17 let",8366,3454,4912,7807,3197,4610,7871,3125,4746,7505,3042,4463,7360,3065,4295,7064,2890,4174,6523,2654,3869,6327,2495,3832,6402,2551,3851,6018,2334,3684,6149,2391,3758,6065,2334,3731
"…splošna in strokovna gimnazija","Vsi letniki - SKUPAJ","18 let",7917,3274,4643,7422,3091,4331,7200,3019,4181,7151,2862,4289,6843,2782,4061,6794,2832,3962,6716,2745,3971,6368,2591,3777,6191,2445,3746,6206,2468,3738,5830,2251,3579,6023,2341,3682
"…splošna in strokovna gimnazija","Vsi letniki - SKUPAJ","19 let",459,253,206,528,297,231,476,240,236,474,260,214,468,235,233,518,266,252,456,236,220,454,199,255,462,232,230,432,196,236,470,218,252,410,190,220
"…splošna in strokovna gimnazija","Vsi letniki - SKUPAJ","20 let",30,18,12,197,80,117,54,31,23,43,25,18,45,24,21,48,33,15,57,29,28,57,27,30,57,24,33,56,27,29,51,31,20,57,31,26
"…splošna in strokovna gimnazija","Vsi letniki - SKUPAJ","21 let in veè",6,4,2,8,1,7,27,11,16,12,8,4,9,5,4,77,42,35,73,43,30,59,35,24,56,27,29,52,29,23,46,24,22,41,22,19
"…splošna in strokovna gimnazija","1. letnik","Starost - Skupaj",8542,3429,5113,8147,3357,4790,7841,3280,4561,7596,3140,4456,7051,2861,4190,6840,2724,4116,6902,2790,4112,6520,2540,3980,6622,2597,4025,6610,2569,4041,6619,2522,4097,6918,2708,4210
"…splošna in strokovna gimnazija","1. letnik","13 let ali manj",7,-,7,4,2,2,2,1,1,1,1,-,2,2,-,1,-,1,1,-,1,2,2,-,-,-,-,1,1,-,2,-,2,2,-,2
"…splošna in strokovna gimnazija","1. letnik","14 let",632,206,426,507,190,317,250,81,169,93,29,64,65,25,40,86,33,53,92,34,58,79,24,55,59,29,30,80,37,43,76,26,50,89,43,46
"…splošna in strokovna gimnazija","1. letnik","15 let",7561,3024,4537,7324,3011,4313,7072,2975,4097,7192,2966,4226,6671,2697,3974,6397,2517,3880,6438,2570,3868,6058,2339,3719,6205,2403,3802,6116,2327,3789,6143,2299,3844,6439,2493,3946
"…splošna in strokovna gimnazija","1. letnik","16 let",239,118,121,289,145,144,419,181,238,270,125,145,286,127,159,301,145,156,306,149,157,325,150,175,296,135,161,357,170,187,347,162,185,347,151,196
"…splošna in strokovna gimnazija","1. letnik","17 let",101,80,21,13,5,8,26,7,19,16,4,12,18,6,12,22,11,11,30,18,12,29,11,18,30,14,16,28,17,11,25,16,9,20,12,8
"…splošna in strokovna gimnazija","1. letnik","18 let",2,1,1,2,1,1,66,33,33,8,6,2,4,1,3,9,4,5,9,2,7,8,4,4,6,3,3,7,4,3,5,5,-,2,-,2
"…splošna in strokovna gimnazija","1. letnik","19 let",-,-,-,3,1,2,-,-,-,5,1,4,2,1,1,4,1,3,9,6,3,7,3,4,9,5,4,5,4,1,12,6,6,9,5,4
"…splošna in strokovna gimnazija","1. letnik","20 let",-,-,-,3,2,1,1,-,1,4,3,1,1,1,-,5,4,1,5,2,3,1,-,1,5,4,1,3,1,2,3,3,-,3,2,1
"…splošna in strokovna gimnazija","1. letnik","21 let in veè",-,-,-,2,-,2,5,2,3,7,5,2,2,1,1,15,9,6,12,9,3,11,7,4,12,4,8,13,8,5,6,5,1,7,2,5
"…splošna in strokovna gimnazija","2. letnik","Starost - Skupaj",8288,3452,4836,8161,3293,4868,7758,3190,4568,7487,3147,4340,7180,2990,4190,6709,2752,3957,6505,2576,3929,6582,2653,3929,6264,2458,3806,6276,2445,3831,6236,2416,3820,6542,2477,4065
"…splošna in strokovna gimnazija","2. letnik","13 let ali manj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…splošna in strokovna gimnazija","2. letnik","14 let",10,-,10,5,1,4,4,4,-,-,-,-,1,1,-,6,2,4,1,-,1,1,-,1,2,2,-,-,-,-,1,1,-,2,-,2
"…splošna in strokovna gimnazija","2. letnik","15 let",808,302,506,589,221,368,538,221,317,249,83,166,91,30,61,71,27,44,80,28,52,81,30,51,64,19,45,50,23,27,72,32,40,72,28,44
"…splošna in strokovna gimnazija","2. letnik","16 let",7088,2961,4127,7104,2800,4304,6780,2744,4036,6818,2861,3957,6703,2768,3935,6224,2526,3698,6033,2363,3670,6110,2436,3674,5800,2241,3559,5837,2238,3599,5740,2185,3555,6070,2255,3815
"…splošna in strokovna gimnazija","2. letnik","17 let",370,180,190,357,189,168,406,200,206,392,190,202,350,176,174,344,169,175,346,166,180,329,156,173,342,162,180,328,158,170,375,172,203,350,163,187
"…splošna in strokovna gimnazija","2. letnik","18 let",10,8,2,102,81,21,21,15,6,24,11,13,27,10,17,27,9,18,21,8,13,31,15,16,32,20,12,34,13,21,29,14,15,28,17,11
"…splošna in strokovna gimnazija","2. letnik","19 let",-,-,-,2,1,1,4,3,1,1,1,-,6,5,1,10,5,5,5,1,4,8,1,7,8,6,2,5,2,3,2,1,1,4,3,1
"…splošna in strokovna gimnazija","2. letnik","20 let",1,-,1,-,-,-,2,1,1,-,-,-,1,-,1,6,2,4,3,1,2,6,5,1,6,3,3,7,3,4,4,3,1,8,5,3
"…splošna in strokovna gimnazija","2. letnik","21 let in veè",1,1,-,2,-,2,3,2,1,3,1,2,1,-,1,20,11,9,16,9,7,16,10,6,10,5,5,15,8,7,13,8,5,8,6,2
"…splošna in strokovna gimnazija","3. letnik","Starost - Skupaj",8328,3432,4896,8036,3350,4686,7936,3173,4763,7486,3086,4400,7260,3040,4220,7029,2920,4109,6552,2673,3879,6385,2517,3868,6466,2586,3880,6078,2364,3714,6141,2399,3742,6142,2354,3788
"…splošna in strokovna gimnazija","3. letnik","13 let ali manj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…splošna in strokovna gimnazija","3. letnik","14 let",2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…splošna in strokovna gimnazija","3. letnik","15 let",-,-,-,2,2,-,6,2,4,2,2,-,1,1,-,2,2,-,5,2,3,1,-,1,1,-,1,1,1,-,1,1,-,1,1,-
"…splošna in strokovna gimnazija","3. letnik","16 let",734,262,472,646,256,390,616,211,405,508,183,325,243,77,166,90,31,59,70,29,41,70,23,47,84,33,51,62,16,46,50,21,29,73,33,40
"…splošna in strokovna gimnazija","3. letnik","17 let",7099,2908,4191,6746,2775,3971,6832,2706,4126,6492,2650,3842,6544,2724,3820,6459,2636,3823,6059,2438,3621,5906,2299,3607,5964,2354,3610,5586,2131,3455,5690,2189,3501,5646,2138,3508
"…splošna in strokovna gimnazija","3. letnik","18 let",469,251,218,604,293,311,445,234,211,446,226,220,446,222,224,422,220,202,361,176,185,373,184,189,366,169,197,384,188,196,358,172,186,379,162,217
"…splošna in strokovna gimnazija","3. letnik","19 let",21,9,12,33,21,12,25,15,10,33,21,12,21,13,8,28,13,15,28,13,15,22,5,17,28,17,11,28,20,8,28,11,17,25,9,16
"…splošna in strokovna gimnazija","3. letnik","20 let",2,-,2,3,2,1,1,1,-,4,3,1,4,2,2,6,6,-,7,3,4,3,-,3,4,-,4,7,3,4,2,1,1,3,2,1
"…splošna in strokovna gimnazija","3. letnik","21 let in veè",1,1,-,2,1,1,11,4,7,1,1,-,1,1,-,22,12,10,21,11,10,10,6,4,19,13,6,10,5,5,12,4,8,15,9,6
"…splošna in strokovna gimnazija","4. letnik","Starost - Skupaj",8703,3565,5138,8088,3294,4794,7780,3203,4577,7755,3075,4680,7298,2949,4349,7105,2954,4151,6893,2844,4049,6507,2642,3865,6328,2500,3828,6305,2489,3816,5983,2306,3677,6090,2384,3706
"…splošna in strokovna gimnazija","4. letnik","13 let ali manj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…splošna in strokovna gimnazija","4. letnik","14 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…splošna in strokovna gimnazija","4. letnik","15 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…splošna in strokovna gimnazija","4. letnik","16 let",2,1,1,-,-,-,-,-,-,6,1,5,1,1,-,3,3,-,-,-,-,2,1,1,1,-,1,1,-,1,1,1,-,1,1,-
"…splošna in strokovna gimnazija","4. letnik","17 let",796,286,510,691,228,463,607,212,395,605,198,407,448,159,289,239,74,165,88,32,56,63,29,34,66,21,45,76,28,48,59,14,45,49,21,28
"…splošna in strokovna gimnazija","4. letnik","18 let",7436,3014,4422,6714,2716,3998,6668,2737,3931,6673,2619,4054,6366,2549,3817,6336,2599,3737,6325,2559,3766,5956,2388,3568,5787,2253,3534,5781,2263,3518,5438,2060,3378,5614,2162,3452
"…splošna in strokovna gimnazija","4. letnik","19 let",438,244,194,490,274,216,447,222,225,435,237,198,439,216,223,476,247,229,414,216,198,417,190,227,417,204,213,394,170,224,428,200,228,372,173,199
"…splošna in strokovna gimnazija","4. letnik","20 let",27,18,9,191,76,115,50,29,21,35,19,16,39,21,18,31,21,10,42,23,19,47,22,25,42,17,25,39,20,19,42,24,18,43,22,21
"…splošna in strokovna gimnazija","4. letnik","21 let in veè",4,2,2,2,-,2,8,3,5,1,1,-,5,3,2,20,10,10,24,14,10,22,12,10,15,5,10,14,8,6,15,7,8,11,5,6
"…splošna in strokovna gimnazija","5. letnik","Starost - Skupaj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…splošna in strokovna gimnazija","5. letnik","13 let ali manj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…splošna in strokovna gimnazija","5. letnik","14 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…splošna in strokovna gimnazija","5. letnik","15 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…splošna in strokovna gimnazija","5. letnik","16 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…splošna in strokovna gimnazija","5. letnik","17 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…splošna in strokovna gimnazija","5. letnik","18 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…splošna in strokovna gimnazija","5. letnik","19 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…splošna in strokovna gimnazija","5. letnik","20 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…splošna in strokovna gimnazija","5. letnik","21 let in veè",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","Vsi letniki - SKUPAJ","Starost - Skupaj",1192,426,766,1077,337,740,759,275,484,713,250,463,701,253,448,527,167,360,394,130,264,375,118,257,372,112,260,322,96,226,272,67,205,220,53,167
"…maturitetni teèaj","Vsi letniki - SKUPAJ","13 let ali manj",-,-,-,-,-,-,-,-,-,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","Vsi letniki - SKUPAJ","14 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","Vsi letniki - SKUPAJ","15 let",-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","Vsi letniki - SKUPAJ","16 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","Vsi letniki - SKUPAJ","17 let",1,-,1,3,-,3,4,1,3,2,-,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","Vsi letniki - SKUPAJ","18 let",41,6,35,82,13,69,61,9,52,57,12,45,68,23,45,41,2,39,17,2,15,7,2,5,19,1,18,13,2,11,17,3,14,26,5,21
"…maturitetni teèaj","Vsi letniki - SKUPAJ","19 let",407,120,287,324,78,246,255,52,203,245,67,178,244,76,168,183,52,131,145,30,115,162,35,127,176,42,134,138,30,108,168,40,128,137,26,111
"…maturitetni teèaj","Vsi letniki - SKUPAJ","20 let",235,76,159,178,62,116,133,62,71,91,31,60,112,44,68,90,30,60,63,27,36,57,17,40,46,14,32,60,23,37,28,8,20,28,8,20
"…maturitetni teèaj","Vsi letniki - SKUPAJ","21 let in veè",508,224,284,490,184,306,306,151,155,314,138,176,275,110,165,213,83,130,169,71,98,149,64,85,131,55,76,111,41,70,59,16,43,29,14,15
"…maturitetni teèaj","1. letnik","Starost - Skupaj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","1. letnik","13 let ali manj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","1. letnik","14 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","1. letnik","15 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","1. letnik","16 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","1. letnik","17 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","1. letnik","18 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","1. letnik","19 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","1. letnik","20 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","1. letnik","21 let in veè",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","2. letnik","Starost - Skupaj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","2. letnik","13 let ali manj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","2. letnik","14 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","2. letnik","15 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","2. letnik","16 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","2. letnik","17 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","2. letnik","18 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","2. letnik","19 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","2. letnik","20 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","2. letnik","21 let in veè",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","3. letnik","Starost - Skupaj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","3. letnik","13 let ali manj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","3. letnik","14 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","3. letnik","15 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","3. letnik","16 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","3. letnik","17 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","3. letnik","18 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","3. letnik","19 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","3. letnik","20 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","3. letnik","21 let in veè",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","4. letnik","Starost - Skupaj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","4. letnik","13 let ali manj",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","4. letnik","14 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","4. letnik","15 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","4. letnik","16 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","4. letnik","17 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","4. letnik","18 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","4. letnik","19 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","4. letnik","20 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","4. letnik","21 let in veè",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","5. letnik","Starost - Skupaj",1192,426,766,1077,337,740,759,275,484,713,250,463,701,253,448,527,167,360,394,130,264,375,118,257,372,112,260,322,96,226,272,67,205,220,53,167
"…maturitetni teèaj","5. letnik","13 let ali manj",-,-,-,-,-,-,-,-,-,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","5. letnik","14 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","5. letnik","15 let",-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","5. letnik","16 let",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","5. letnik","17 let",1,-,1,3,-,3,4,1,3,2,-,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"…maturitetni teèaj","5. letnik","18 let",41,6,35,82,13,69,61,9,52,57,12,45,68,23,45,41,2,39,17,2,15,7,2,5,19,1,18,13,2,11,17,3,14,26,5,21
"…maturitetni teèaj","5. letnik","19 let",407,120,287,324,78,246,255,52,203,245,67,178,244,76,168,183,52,131,145,30,115,162,35,127,176,42,134,138,30,108,168,40,128,137,26,111
"…maturitetni teèaj","5. letnik","20 let",235,76,159,178,62,116,133,62,71,91,31,60,112,44,68,90,30,60,63,27,36,57,17,40,46,14,32,60,23,37,28,8,20,28,8,20
"…maturitetni teèaj","5. letnik","21 let in veè",508,224,284,490,184,306,306,151,155,314,138,176,275,110,165,213,83,130,169,71,98,149,64,85,131,55,76,111,41,70,59,16,43,29,14,15
